Party,Gender,AgeGroup,Region,SocialGroup,PastVote,Brexit,Poll
Liberal Democrats,Female,65+,Wales,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,45-54,Midlands,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,35-44,Midlands,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,55-64,Wales,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,18-34,Wales,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,18-34,Midlands,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,45-54,Midlands,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,65+,Midlands,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,45-54,London,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,35-44,North,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,65+,Midlands,C2,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,35-44,London,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,35-44,South,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,55-64,London,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,18-34,Midlands,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,65+,London,C2,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,55-64,South,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,45-54,London,C2,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,35-44,London,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,55-64,London,DE,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Male,35-44,Midlands,AB,Liberal Democrats,Remain,survation-27-apr
Liberal Democrats,Female,45-54,Midlands,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Female,55-64,Midlands,C2,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,65+,South,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,C2,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,DE,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Female,35-44,Midlands,C2,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Female,18-34,South,DE,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,35-44,London,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,South,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,65+,London,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,DE,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,65+,South,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,65+,London,DE,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,South,AB,Liberal Democrats,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,DE,Did not vote,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,AB,Did not vote,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,DE,Did not vote,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,South,DE,Did not vote,Did not vote,survation-27-apr
Liberal Democrats,Male,65+,South,AB,Did not vote,Did not vote,survation-27-apr
Liberal Democrats,Male,18-34,London,AB,Did not vote,Did not vote,survation-27-apr
Green Party,Female,18-34,London,C2,Labour,Leave,survation-27-apr
Green Party,Female,65+,North,DE,Conservative,Remain,survation-27-apr
Green Party,Female,35-44,Scotland,C2,Conservative,Remain,survation-27-apr
Green Party,Female,45-54,North,C2,Other,Leave,survation-27-apr
Green Party,Male,65+,London,C2,Conservative,Leave,survation-27-apr
Green Party,Male,18-34,Midlands,AB,Labour,Remain,survation-27-apr
Green Party,Female,45-54,Scotland,C2,Liberal Democrats,Leave,survation-27-apr
Green Party,Male,55-64,Midlands,C2,Other,Leave,survation-27-apr
Green Party,Female,55-64,South,C2,Labour,Remain,survation-27-apr
Green Party,Female,65+,London,AB,Labour,Remain,survation-27-apr
Green Party,Female,18-34,Wales,C1,Other,Leave,survation-27-apr
Green Party,Female,65+,Midlands,DE,Liberal Democrats,Leave,survation-27-apr
Green Party,Male,18-34,South,AB,Liberal Democrats,Leave,survation-27-apr
Green Party,Female,35-44,Wales,AB,Labour,Leave,survation-27-apr
Green Party,Male,35-44,Scotland,AB,Other,Leave,survation-27-apr
Green Party,Female,65+,Scotland,C2,Other,Leave,survation-27-apr
Green Party,Female,35-44,London,AB,Other,Remain,survation-27-apr
Green Party,Male,65+,North,DE,Labour,Leave,survation-27-apr
Green Party,Female,65+,South,DE,Labour,Leave,survation-27-apr
Green Party,Female,55-64,North,DE,Liberal Democrats,Remain,survation-27-apr
Green Party,Female,18-34,South,C1,Other,Leave,survation-27-apr
Green Party,Male,45-54,Midlands,DE,Liberal Democrats,Leave,survation-27-apr
Green Party,Female,35-44,Scotland,DE,Liberal Democrats,Remain,survation-27-apr
Green Party,Female,18-34,London,DE,Labour,Remain,survation-27-apr
Green Party,Female,65+,Scotland,AB,Other,Remain,survation-27-apr
Green Party,Male,55-64,London,C1,Labour,Leave,survation-27-apr
Green Party,Female,45-54,Wales,AB,Labour,Leave,survation-27-apr
Green Party,Female,35-44,North,C2,Other,Leave,survation-27-apr
Green Party,Female,55-64,Wales,AB,Other,Remain,survation-27-apr
Green Party,Female,45-54,Wales,C2,Labour,Remain,survation-27-apr
Green Party,Female,45-54,Northern Ireland,C1,Labour,Remain,survation-27-apr
Green Party,Male,55-64,North,DE,Liberal Democrats,Remain,survation-27-apr
Green Party,Male,55-64,Wales,DE,Liberal Democrats,Remain,survation-27-apr
Green Party,Male,18-34,Wales,DE,Other,Remain,survation-27-apr
Green Party,Male,18-34,Scotland,C2,Other,Remain,survation-27-apr
Green Party,Male,35-44,London,DE,Other,Did not vote,survation-27-apr
Green Party,Female,18-34,North,AB,Other,Did not vote,survation-27-apr
Green Party,Female,18-34,Midlands,DE,Other,Did not vote,survation-27-apr
Green Party,Male,18-34,London,C1,Other,Did not vote,survation-27-apr
Green Party,Male,18-34,South,AB,Did not vote,Did not vote,survation-27-apr
Green Party,Male,35-44,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Green Party,Female,35-44,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Green Party,Male,18-34,South,DE,Did not vote,Did not vote,survation-27-apr
Green Party,Male,18-34,London,DE,Did not vote,Did not vote,survation-27-apr
Green Party,Male,35-44,Midlands,C1,Did not vote,Did not vote,survation-27-apr
Scottish National Party,Male,45-54,Scotland,C1,Labour,Remain,survation-27-apr
Scottish National Party,Male,65+,Scotland,C1,Conservative,Leave,survation-27-apr
Scottish National Party,Female,55-64,Scotland,DE,Labour,Remain,survation-27-apr
Scottish National Party,Female,65+,Scotland,C2,Liberal Democrats,Remain,survation-27-apr
Scottish National Party,Female,35-44,Scotland,AB,Other,Leave,survation-27-apr
Scottish National Party,Male,45-54,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Female,55-64,Scotland,DE,Labour,Leave,survation-27-apr
Scottish National Party,Female,55-64,Scotland,DE,Conservative,Leave,survation-27-apr
Scottish National Party,Female,18-34,Scotland,C2,Conservative,Leave,survation-27-apr
Scottish National Party,Female,35-44,Scotland,C2,Other,Remain,survation-27-apr
Scottish National Party,Female,18-34,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Male,35-44,Scotland,DE,Other,Remain,survation-27-apr
Scottish National Party,Male,18-34,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Female,45-54,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Female,18-34,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Male,65+,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Female,45-54,Scotland,DE,Other,Remain,survation-27-apr
Scottish National Party,Female,35-44,Scotland,C2,Other,Remain,survation-27-apr
Scottish National Party,Female,55-64,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Female,65+,Scotland,C2,Other,Remain,survation-27-apr
Scottish National Party,Male,35-44,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Male,18-34,Scotland,DE,Other,Remain,survation-27-apr
Scottish National Party,Female,45-54,Scotland,C2,Other,Remain,survation-27-apr
Scottish National Party,Female,35-44,Scotland,DE,Other,Remain,survation-27-apr
Scottish National Party,Male,18-34,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Male,55-64,Scotland,C2,Other,Remain,survation-27-apr
Scottish National Party,Male,55-64,Scotland,AB,Other,Remain,survation-27-apr
Scottish National Party,Male,18-34,Scotland,DE,Other,Did not vote,survation-27-apr
Scottish National Party,Male,55-64,Scotland,C2,Other,Did not vote,survation-27-apr
Scottish National Party,Male,55-64,Scotland,C2,Other,Did not vote,survation-27-apr
Scottish National Party,Male,18-34,Scotland,C2,Other,Did not vote,survation-27-apr
Scottish National Party,Male,18-34,Scotland,AB,Other,Did not vote,survation-27-apr
Scottish National Party,Male,35-44,Scotland,C2,Other,Did not vote,survation-27-apr
Plaid Cymru,Male,65+,Wales,C1,Other,Leave,survation-27-apr
Plaid Cymru,Male,35-44,Wales,AB,Liberal Democrats,Remain,survation-27-apr
Plaid Cymru,Female,18-34,Wales,AB,Conservative,Remain,survation-27-apr
Plaid Cymru,Male,65+,Wales,AB,Other,Leave,survation-27-apr
Plaid Cymru,Male,55-64,Wales,AB,Other,Leave,survation-27-apr
Plaid Cymru,Female,45-54,Wales,AB,Other,Remain,survation-27-apr
Plaid Cymru,Female,45-54,Wales,C2,Other,Remain,survation-27-apr
Brexit Party,Female,18-34,South,C2,Labour,Remain,survation-27-apr
Brexit Party,Male,55-64,South,C2,Other,Leave,survation-27-apr
Brexit Party,Female,45-54,North,DE,Conservative,Leave,survation-27-apr
Brexit Party,Male,55-64,Scotland,C2,Liberal Democrats,Leave,survation-27-apr
Brexit Party,Male,45-54,Midlands,C1,Other,Leave,survation-27-apr
Other,Male,35-44,North,C1,Liberal Democrats,Leave,survation-27-apr
Other,Male,35-44,Northern Ireland,C1,Other,Leave,survation-27-apr
Other,Male,18-34,North,C1,Other,Leave,survation-27-apr
Other,Female,18-34,Midlands,DE,Other,Leave,survation-27-apr
Other,Male,35-44,London,C2,Other,Leave,survation-27-apr
Other,Female,65+,Wales,DE,Labour,Leave,survation-27-apr
Other,Female,45-54,Northern Ireland,AB,Conservative,Remain,survation-27-apr
Other,Male,65+,South,C2,Other,Leave,survation-27-apr
Other,Female,35-44,North,C2,Conservative,Remain,survation-27-apr
Other,Female,35-44,Wales,AB,Other,Remain,survation-27-apr
Other,Female,18-34,Wales,C2,Other,Leave,survation-27-apr
Other,Male,55-64,Scotland,C2,Other,Remain,survation-27-apr
Other,Male,65+,Midlands,DE,Other,Remain,survation-27-apr
Other,Male,45-54,Northern Ireland,C2,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,AB,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,C2,Other,Leave,survation-27-apr
Other,Male,18-34,Northern Ireland,C1,Other,Leave,survation-27-apr
Other,Male,45-54,Northern Ireland,DE,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,C1,Other,Leave,survation-27-apr
Other,Male,18-34,Northern Ireland,C2,Other,Leave,survation-27-apr
Other,Male,18-34,Northern Ireland,AB,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,C2,Other,Leave,survation-27-apr
Other,Male,18-34,Northern Ireland,C1,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,DE,Other,Leave,survation-27-apr
Other,Male,65+,Northern Ireland,AB,Other,Did not vote,survation-27-apr
Other,Male,65+,Northern Ireland,AB,Other,Did not vote,survation-27-apr
Other,Male,65+,Northern Ireland,DE,Other,Did not vote,survation-27-apr
Undecided,Female,35-44,Wales,AB,Liberal Democrats,Remain,survation-27-apr
Undecided,Female,45-54,Midlands,AB,Labour,Leave,survation-27-apr
Undecided,Female,55-64,North,C1,Liberal Democrats,Leave,survation-27-apr
Undecided,Female,35-44,North,DE,Other,Leave,survation-27-apr
Undecided,Female,35-44,London,C1,Liberal Democrats,Remain,survation-27-apr
Undecided,Male,65+,Wales,AB,Liberal Democrats,Remain,survation-27-apr
Undecided,Female,35-44,North,C2,Labour,Remain,survation-27-apr
Undecided,Male,18-34,Northern Ireland,AB,Liberal Democrats,Remain,survation-27-apr
Undecided,Male,55-64,North,C2,Conservative,Leave,survation-27-apr
Undecided,Male,65+,Wales,AB,Conservative,Remain,survation-27-apr
Undecided,Female,18-34,South,C2,Labour,Leave,survation-27-apr
Undecided,Male,45-54,South,C2,Other,Remain,survation-27-apr
Undecided,Female,65+,South,DE,Other,Leave,survation-27-apr
Undecided,Female,65+,Wales,DE,Other,Remain,survation-27-apr
Undecided,Female,18-34,Northern Ireland,C2,Liberal Democrats,Remain,survation-27-apr
Undecided,Female,45-54,Wales,C1,Liberal Democrats,Leave,survation-27-apr
Undecided,Female,35-44,Scotland,C1,Labour,Remain,survation-27-apr
Undecided,Female,55-64,Midlands,C2,Liberal Democrats,Remain,survation-27-apr
Undecided,Male,55-64,Scotland,C2,Conservative,Leave,survation-27-apr
Undecided,Male,65+,Northern Ireland,C2,Other,Remain,survation-27-apr
Undecided,Male,55-64,London,C2,Liberal Democrats,Leave,survation-27-apr
Undecided,Male,35-44,Northern Ireland,C2,Liberal Democrats,Remain,survation-27-apr
Undecided,Male,55-64,London,C2,Conservative,Remain,survation-27-apr
Undecided,Male,55-64,South,AB,Conservative,Remain,survation-27-apr
Undecided,Male,18-34,Wales,C2,Other,Remain,survation-27-apr
Undecided,Female,45-54,Scotland,C1,Other,Remain,survation-27-apr
Undecided,Male,45-54,North,C2,Labour,Leave,survation-27-apr
Undecided,Female,45-54,Wales,C2,Conservative,Remain,survation-27-apr
Undecided,Male,55-64,London,C2,Labour,Leave,survation-27-apr
Undecided,Male,55-64,Scotland,DE,Labour,Leave,survation-27-apr
Undecided,Female,55-64,Wales,DE,Other,Leave,survation-27-apr
Undecided,Female,55-64,Scotland,DE,Labour,Remain,survation-27-apr
Undecided,Female,65+,Midlands,C1,Labour,Leave,survation-27-apr
Undecided,Male,55-64,South,AB,Labour,Remain,survation-27-apr
Undecided,Male,18-34,Wales,AB,Labour,Remain,survation-27-apr
Undecided,Male,35-44,Midlands,C1,Other,Remain,survation-27-apr
Undecided,Female,18-34,Scotland,C1,Labour,Leave,survation-27-apr
Undecided,Male,35-44,Wales,C2,Other,Leave,survation-27-apr
Undecided,Female,65+,Scotland,C1,Conservative,Leave,survation-27-apr
Undecided,Male,45-54,London,C2,Conservative,Remain,survation-27-apr
Undecided,Female,55-64,London,DE,Labour,Remain,survation-27-apr
Undecided,Female,18-34,London,C2,Conservative,Remain,survation-27-apr
Undecided,Male,35-44,Scotland,AB,Labour,Leave,survation-27-apr
Undecided,Female,35-44,Midlands,DE,Other,Remain,survation-27-apr
Undecided,Female,45-54,London,C1,Other,Leave,survation-27-apr
Undecided,Female,55-64,Wales,DE,Conservative,Leave,survation-27-apr
Undecided,Male,65+,South,DE,Other,Remain,survation-27-apr
Undecided,Female,18-34,Midlands,C2,Conservative,Remain,survation-27-apr
Undecided,Female,55-64,London,AB,Labour,Leave,survation-27-apr
Undecided,Female,65+,London,AB,Labour,Leave,survation-27-apr
Undecided,Male,55-64,North,C1,Labour,Leave,survation-27-apr
Undecided,Male,18-34,North,C1,Labour,Leave,survation-27-apr
Undecided,Female,35-44,Midlands,C2,Other,Remain,survation-27-apr
Undecided,Female,65+,Scotland,C2,Conservative,Remain,survation-27-apr
Undecided,Male,18-34,North,C2,Other,Remain,survation-27-apr
Undecided,Female,18-34,Midlands,C1,Other,Leave,survation-27-apr
Undecided,Male,65+,London,C2,Other,Leave,survation-27-apr
Undecided,Male,65+,London,C1,Labour,Remain,survation-27-apr
Undecided,Male,45-54,Scotland,AB,Conservative,Leave,survation-27-apr
Undecided,Male,18-34,Wales,C1,Conservative,Leave,survation-27-apr
Undecided,Female,65+,Scotland,AB,Labour,Remain,survation-27-apr
Undecided,Female,65+,Midlands,C2,Labour,Leave,survation-27-apr
Undecided,Female,65+,North,DE,Labour,Leave,survation-27-apr
Undecided,Female,18-34,Wales,C2,Conservative,Leave,survation-27-apr
Undecided,Male,65+,Midlands,AB,Conservative,Leave,survation-27-apr
Undecided,Male,65+,Wales,DE,Conservative,Leave,survation-27-apr
Undecided,Male,65+,North,C2,Conservative,Leave,survation-27-apr
Undecided,Female,45-54,London,C2,Conservative,Leave,survation-27-apr
Undecided,Female,45-54,Midlands,C2,Conservative,Leave,survation-27-apr
Undecided,Female,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Undecided,Male,65+,North,C2,Conservative,Leave,survation-27-apr
Undecided,Male,35-44,South,AB,Conservative,Leave,survation-27-apr
Undecided,Male,18-34,South,C2,Conservative,Leave,survation-27-apr
Undecided,Male,55-64,South,DE,Conservative,Leave,survation-27-apr
Undecided,Female,18-34,Midlands,DE,Conservative,Leave,survation-27-apr
Undecided,Female,35-44,Midlands,DE,Conservative,Leave,survation-27-apr
Undecided,Male,18-34,North,AB,Did not vote,Leave,survation-27-apr
Undecided,Female,45-54,London,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,North,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Male,55-64,London,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Male,45-54,Wales,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,London,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Male,45-54,London,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,35-44,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,South,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,35-44,London,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,35-44,South,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,Midlands,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Wales,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,London,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,North,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,Wales,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,Wales,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Wales,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,South,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,South,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Wales,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,South,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,North,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,Midlands,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,55-64,Wales,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,North,AB,Did not vote,Did not vote,survation-27-apr
Undecided,Female,65+,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,North,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,18-34,South,DE,Did not vote,Did not vote,survation-27-apr
Undecided,Female,45-54,Wales,DE,Did not vote,Did not vote,survation-27-apr
Refused,Female,18-34,Wales,C2,Liberal Democrats,Leave,survation-27-apr
Refused,Female,18-34,Midlands,DE,Conservative,Remain,survation-27-apr
Refused,Male,18-34,Scotland,DE,Other,Leave,survation-27-apr
Refused,Male,45-54,South,C1,Labour,Leave,survation-27-apr
Refused,Male,35-44,Scotland,AB,Conservative,Did not vote,survation-27-apr
Conservative,Female,45-54,Wales,DE,Labour,Remain,survation-26-may
Conservative,Female,55-64,Midlands,C1,Conservative,Leave,survation-26-may
Conservative,Female,45-54,London,C2,Conservative,Leave,survation-26-may
Conservative,Male,35-44,Northern Ireland,C1,Conservative,Remain,survation-26-may
Conservative,Female,55-64,South,AB,Conservative,Remain,survation-26-may
Conservative,Female,45-54,Midlands,C2,Liberal Democrats,Remain,survation-26-may
Conservative,Female,35-44,North,AB,Conservative,Remain,survation-26-may
Conservative,Female,35-44,London,C2,Conservative,Remain,survation-26-may
Conservative,Male,55-64,Midlands,C2,Other,Leave,survation-26-may
Conservative,Male,55-64,South,C1,Conservative,Leave,survation-26-may
Conservative,Male,35-44,North,C1,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Wales,C2,Conservative,Remain,survation-26-may
Conservative,Male,55-64,Scotland,C2,Conservative,Leave,survation-26-may
Conservative,Female,18-34,Scotland,DE,Conservative,Remain,survation-26-may
Conservative,Male,55-64,London,C1,Conservative,Remain,survation-26-may
Conservative,Female,35-44,North,C2,Conservative,Leave,survation-26-may
Conservative,Female,18-34,Wales,C1,Conservative,Remain,survation-26-may
Conservative,Male,35-44,Midlands,DE,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Scotland,C2,Conservative,Remain,survation-26-may
Conservative,Female,18-34,London,C2,Conservative,Leave,survation-26-may
Conservative,Male,55-64,North,DE,Conservative,Remain,survation-26-may
Conservative,Female,45-54,Scotland,C1,Conservative,Remain,survation-26-may
Conservative,Male,55-64,South,AB,Conservative,Leave,survation-26-may
Conservative,Female,55-64,London,C1,Conservative,Remain,survation-26-may
Conservative,Female,18-34,Midlands,AB,Conservative,Remain,survation-26-may
Conservative,Female,18-34,Midlands,C2,Conservative,Leave,survation-26-may
Conservative,Male,45-54,Scotland,C1,Conservative,Leave,survation-26-may
Conservative,Male,65+,Scotland,DE,Conservative,Remain,survation-26-may
Conservative,Female,55-64,Scotland,DE,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Wales,C1,Conservative,Leave,survation-26-may
Conservative,Male,35-44,Midlands,AB,Conservative,Remain,survation-26-may
Conservative,Female,65+,Midlands,DE,Conservative,Remain,survation-26-may
Conservative,Female,18-34,Wales,DE,Conservative,Remain,survation-26-may
Conservative,Female,45-54,South,AB,Conservative,Leave,survation-26-may
Conservative,Male,45-54,Wales,AB,Conservative,Leave,survation-26-may
Conservative,Male,18-34,South,C1,Conservative,Remain,survation-26-may
Conservative,Female,18-34,Wales,DE,Conservative,Remain,survation-26-may
Conservative,Male,55-64,Wales,C1,Conservative,Leave,survation-26-may
Conservative,Female,45-54,South,AB,Conservative,Leave,survation-26-may
Conservative,Male,45-54,South,C2,Conservative,Leave,survation-26-may
Conservative,Male,45-54,Midlands,DE,Conservative,Leave,survation-26-may
Conservative,Female,55-64,Scotland,AB,Conservative,Remain,survation-26-may
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-26-may
Conservative,Female,55-64,Wales,DE,Conservative,Leave,survation-26-may
Conservative,Male,55-64,Scotland,C2,Conservative,Remain,survation-26-may
Conservative,Female,35-44,North,C1,Conservative,Remain,survation-26-may
Conservative,Male,55-64,Scotland,C2,Conservative,Leave,survation-26-may
Conservative,Female,65+,North,C2,Conservative,Leave,survation-26-may
Conservative,Female,18-34,Midlands,C1,Conservative,Remain,survation-26-may
Conservative,Female,45-54,Midlands,C2,Conservative,Remain,survation-26-may
Conservative,Male,55-64,Midlands,C1,Conservative,Leave,survation-26-may
Conservative,Female,45-54,Wales,DE,Conservative,Remain,survation-26-may
Conservative,Male,65+,Wales,C1,Conservative,Leave,survation-26-may
Conservative,Male,35-44,South,DE,Conservative,Leave,survation-26-may
Conservative,Male,55-64,South,C1,Conservative,Remain,survation-26-may
Conservative,Female,45-54,North,C2,Conservative,Remain,survation-26-may
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-26-may
Conservative,Male,45-54,North,DE,Conservative,Leave,survation-26-may
Conservative,Male,65+,North,DE,Conservative,Leave,survation-26-may
Conservative,Male,35-44,Wales,C1,Conservative,Remain,survation-26-may
Conservative,Male,18-34,Midlands,AB,Conservative,Leave,survation-26-may
Conservative,Male,18-34,Wales,AB,Conservative,Remain,survation-26-may
Conservative,Female,35-44,South,C1,Conservative,Leave,survation-26-may
Conservative,Male,35-44,London,C2,Conservative,Remain,survation-26-may
Conservative,Female,45-54,London,AB,Conservative,Remain,survation-26-may
Conservative,Male,45-54,London,DE,Conservative,Remain,survation-26-may
Conservative,Female,55-64,London,AB,Conservative,Remain,survation-26-may
Conservative,Female,45-54,South,C2,Conservative,Leave,survation-26-may
Conservative,Female,18-34,North,AB,Conservative,Leave,survation-26-may
Conservative,Male,45-54,London,C2,Conservative,Leave,survation-26-may
Conservative,Female,18-34,South,C2,Conservative,Leave,survation-26-may
Conservative,Male,35-44,Wales,C1,Conservative,Remain,survation-26-may
Conservative,Female,35-44,South,AB,Conservative,Remain,survation-26-may
Conservative,Female,45-54,Wales,AB,Conservative,Leave,survation-26-may
Conservative,Male,35-44,Midlands,DE,Conservative,Leave,survation-26-may
Conservative,Male,35-44,London,C2,Conservative,Remain,survation-26-may
Conservative,Female,18-34,Wales,C2,Conservative,Leave,survation-26-may
Conservative,Male,45-54,London,DE,Conservative,Remain,survation-26-may
Conservative,Female,35-44,Midlands,DE,Conservative,Leave,survation-26-may
Conservative,Female,65+,Midlands,C2,Conservative,Leave,survation-26-may
Conservative,Female,35-44,Midlands,DE,Conservative,Remain,survation-26-may
Conservative,Female,65+,Wales,C2,Conservative,Remain,survation-26-may
Conservative,Female,35-44,South,C2,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Midlands,AB,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Midlands,AB,Conservative,Remain,survation-26-may
Conservative,Female,65+,London,AB,Conservative,Remain,survation-26-may
Conservative,Male,45-54,Wales,C1,Conservative,Remain,survation-26-may
Conservative,Male,35-44,South,C1,Conservative,Remain,survation-26-may
Conservative,Female,35-44,North,DE,Conservative,Remain,survation-26-may
Conservative,Male,55-64,South,C2,Conservative,Remain,survation-26-may
Conservative,Male,55-64,London,C1,Conservative,Remain,survation-26-may
Conservative,Male,18-34,London,C1,Conservative,Leave,survation-26-may
Conservative,Female,55-64,London,C1,Conservative,Leave,survation-26-may
Conservative,Male,55-64,South,C2,Conservative,Leave,survation-26-may
Conservative,Female,55-64,South,DE,Conservative,Leave,survation-26-may
Conservative,Male,35-44,North,C1,Conservative,Leave,survation-26-may
